,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
1958,When was the photo taken?,Evening.,Yaushe aka dauki hotan?,Da maraice.,856,2331786
1959,Where is this taking place?,In front of a street.,A ina hakan ke faruwa?,A gaban titi.,185,2381745
1960,How many vans are there?,One.,Motoci Van guda nawa ne a wurin?,Ɗaya.,2716,2380505
1961,Who is in the room?,No one.,Waye a cikin ɗakin?,Ba kowa.,607,2331422
1962,What is on the ground?,Brick.,Waye akan ƙasa?,Jan bulo.,1339,2378173
1963,Where is the dog looking?,Upward.,Ina karen yake kallo?,Sama.,2155,2327260
1964,How many pillows can be seen on the beds?,Three.,Filallika nawa ake gani a kan gadon?,Uku.,2495,2405459
1965,What is the total number of people in the picture?,1,Adadain mutane nawa a hoton?,1,8,2396623
1966,What are the round things on the tower?,Clock faces.,Menene zagayayyun abubuwan da suke kan hasumiya?,Fuskar agogo.,1112,2367213
1967,Where are the petals?,On the ground.,Ina ganyayyakin filurai ɗin suke?,Akan ƙasa.,538,2394080
1968,What state is the metal pole?,Rusting.,Yaya yanayin da pol din karfen yake?,Yayi tsatsa.,2648,2363942
1969,Why are.people sitting in the distance?,Office.,Me yasa mutane suke a nesa?,Ofishi.,1965,2343344
1970,Where is the container of tomatoes?,On the counter.,Ina kwanon tumatir?,Akan counter.,480,2359140
1971,What is the number of giraffe legs visible?,Zero.,Ƙafafuwan raƙumin dawan guda nawa ake gani?,Babu.,640,2401070
1972,Where is the cat?,In sink.,Ina magen take?,Cikin abun wanke hannu.,793,2326709
1973,What color is the sink?,Silver.,Wanne launi ne abun wanke hannu ɗin?,Ruwan azurfa.,2059,2326709
1974,What lines the road on both sides?,Buildings.,Me ya zagaye titin a duka gefen biyu?,Gininnika.,1184,2408100
1975,What color is the bike in front?,Blue.,Wani launi ne mashin din da ke gaba?,Shuɗi.,2230,2413078
1976,What are the pastries placed in?,Baskets.,Ina aka ajjiye kayan fulawar?,A ƙwando.,408,2396449
1977,What is the man in the white shirt holding?,A tennis racket.,Me mutumin cikin farar riga yake riƙe da shi?,Raket ɗin tanis.,1999,2349360
1978,Where is the red transit bus?,Traveling down the street.,Ina jar bas mai jigila?,Tana tafiya zuwa ƙasan titi.,2364,2398422
1979,How many black cows are there?,One.,Nawane adadin baƙaƙen shanu a gurin?,Ɗaya.,2716,2343260
1980,What is sprinkled on the pizza?,Cheese.,Me aka barbaɗa a kan fiza ɗin?,Cikui.,808,2408059
1981,What meat is on the plate?,Chicken.,Wanne nama ne a kan farantin?,Kaza.,1488,2341074
1982,What type of animals are these?,Giraffes.,Wasu irin dabbobi ne waɗannan?,Raƙumin dawa.,2029,2375491
1983,What color is the sky?,Blue.,Wani launi ne sararin samaniya?,Shuɗi.,2230,2414676
1984,What color is the cat on the top shelf?,White and gray.,Wanne launi ne da magen da ke kan gurin ajiyan sama?,Fari da ruwan toka.,1031,2339745
1985,Where was this photo taken?,On a college campus.,A ina aka ɗauka wannan hoton?,A harabar kwaleji.,227,2396861
1986,What is the train doing?,Stopping.,Me jirgin ƙasan yake yi?,Tsayawa.,2444,2328681
1987,Where is the short hand of the clock?,Ten.,Ina guntun hannun agogon?,Goma.,1196,2321802
1988,How many appliances are in the picture?,Nine.,Nawane adadin na'urorin aiki a cikin hoton?,Tara.,2372,2330918
1989,What shape are the plates?,Square.,Wanne siffa ne da farantan?,Murabba'i.,1870,2363748
1990,What is she holding?,Hot dog.,Me take riƙe da shi?,Hot dog.,1263,2331786
1991,What color are the doors in the background?,White.,Wani launi ne da ƙofofin cikin ƙasan bayan hoton?,Fari.,1039,2337425
1992,What is the player wearing on his head?,A helmet.,Me ɗan wasan yake sanye dashi a kan shi?,Hular kwano.,1275,2353347
1993,How many hydrants are pictured?,1,Nawane adadin ma'adanar ruwa da aka nuna??,1,8,2380505
1994,When was the picture taken?,During the day.,Yaushe aka ɗauka wannan hoton?,Da rana.,860,2331422
1995,What is the name of the clock?,Big Ben.,Menene sunan agogon?,Big Ben.,745,2344851
1996,Where is the clock?,On the tower.,Ina agogon?,A kan hasumiyar.,280,2367213
1997,Who is laying on the bed?,No one.,Waye kwance a kan gadon?,Babu kowa.,638,2339684
1998,How is the tomato cut on the pizza?,Sliced in half.,Yaya aka yanka tumatir kan fiza ɗin?,An yanka gida biyu.,582,2359140
1999,What are the people doing?,Walking.,Me mutanen sukeyi?,Tafiya.,2328,2321866
2000,What type of pants is the man wearing?,Black shirts.,Wani irin wando mutumin ke sanye da?,Bakin riga.,649,2377342
2001,What color are the walls?,White.,Wani launi ne bangon?,Fari.,1039,2414507
2002,Who has the white shoes?,The boy standing with his skateboard.,Wa yake da farin takalmin?,Yaron da yake tsaye da sikebod din.,2640,2414507
2003,Where are the people?,On the platform.,Ina mutanen?,A kan dandamali.,264,2416902
2004,What is on the stove?,A pan.,Menene a kan murhun?,Tukunyar suya.,2477,2374937
2005,What is in the background of the photo?,A house.,Menene a ƙasan bayan hoton?,Gida.,1167,2316861
2006,Where are the vehicles parked?,On the side of the field.,A ina aka ajiye ababan hawan?,A gefen filin.,193,2374728
2007,What shape is the frisbee?,Round.,Menene siffar firisbi ɗin?,Zagaye.,2664,2374728
2008,How many men are there?,1,Maza nawa ne a wurin?,1,8,2407099
2009,How many people are shown?,2,Mutane nawa ne aka nuna?,2,20,2407099
2010,How many cows are visible?,Eight.,Shanu nawa ake gani?,Takwas.,2345,2343260
2011,Where is the kite?,In the sky.,Ina jirgin leda ɗin?,A sararin samaniya.,349,2415091
2012,What is sprinkled on top of the pizza?,Mozzarella cheese.,Me aka barbaɗa akan fiza?,Cikwin mozerella.,810,2408059
2013,What color is the cat on the bottom shelf?,Orange and white.,Menene launin magen ƙasan?,Ruwan lemo da fari.,2073,2339745
2014,What are the workers wearing on heads?,Safety helmets.,Me ma`aikatan suke sanye da a kawunan su?,Hular kwano.,1275,2388001
2015,What is green on the plate?,Brussels sprouts.,Menene kore akan farantin?,Brussels sprouts.,766,2363748
2016,What color is the sign on the left?,Green.,Menene launin alamar hagun?,Kore.,1530,2379868
2017,What type of numbers are on the clocks?,Roman numerals.,Wasu irin lambobi ne akan agogon?,Roman numbers.,2047,2405827
2018,How many suitcases are there?,1,Akwatuna nawa ne a wurin?,1,8,2331422
2019,What big green thing is riding up the street?,Bus.,Wanne babban abu ne kore yake tawo wa saman titi?,Bas.,677,2365243
2020,How many children are in the picture?,One.,Yara nawa ne a jikin hoton?,Ɗaya.,2716,2320293
2021,What color is the top of the net?,White.,Menene launin saman ragar?,Fari.,1039,2399044
2022,Where is this picture taken?,In the City.,A ina aka ɗauki wannan hoton?,A cikin burni.,100,2383581
2023,When is the picture taken?,Daytime.,Da yaushe aka ɗauki hoton?,Da rana.,860,2378710
2024,What is on the skateboarding ramp?,Graffiti.,Menene a jikin wajan yin sikebod ɗin?,Zane-zane.,2667,2415153
2025,What toppings are on the pizza?,Vegetables.,Wasu abubuwa ne akan fiza?,Kayan lambu.,1483,2359779
2026,What is the kitchen filled with?,White and black appliances.,Dame aka cika ɗakin girkin?,Fari da baƙin kayan aiki.,1025,2374937
2027,Where is this scene taking place?,In the kitchen.,Ina wannan wurin ya faru?,A ɗakin girki.,411,2374937
2028,What is on the wall?,A decorative painting.,Menene akan bangon?,Zanen hoto na ado.,2669,2392341
2029,What is in basket?,Bread.,Menene a cikin kwandon?,Burodi.,774,2396449
2030,Where is the white vase sitting?,On the floor.,Ina farin kaskon yake zaune?,A ƙasa.,400,2368252
2031,Who are in the photo?,Men.,Suwaye a cikin hoton?,Maza.,1835,2316861
2032,What direction is the kid in blue looking?,Down.,A wani ɓangare yaron da yake sanye da shuɗi yake kallo?,Ƙasa.,2752,2386533
2033,What is folded?,Pizza dough.,Me aka nannaɗe?,Ƙullun fiza.,2771,2408059
2034,What color are the trees trunks?,Brown.,Menene launin gangar jikin bishiyun?,Ruwan ƙasa.,2105,2363303
2035,What are in the woman's hands?,Ski poles.,Menene a hannun matar?,Siki pol.,2242,2363303
2036,What kind of animals are in the field?,Zebra and antelope.,Wasu irin dabbobi ne cikin filin?,Jakin dawa da barewa.,1331,2414676
2037,Where is the train car at in the picture?,On tracks.,Ina motar jirgin ƙasan take a hoton?,Akan titin.,534,2388001
2038,What time is it?,10:34:00,Wani lokaci ne?,10:34:00,10,2321802
2039,What is the long hand on?,34,Akan me dogon hannun yake?,34,27,2321802
2040,What kind of appliances are in the picture?,Stoves.,Wasu irin kayan aiki ne a cikin hoton?,Murhuna.,1876,2330918
2041,Where was the picture taken?,At the zoo.,A ina aka ɗauki hoton?,A gidan dabbobi.,202,2337425
2042,What color is the fork?,Silver.,Wani launi ne cokali mai yatsun?,Azurfa.,603,2324174
2043,What color is the brick?,Red.,Wani launi ne bulo ɗin?,Ja.,1321,2378173
2044,What two words could describe bed?,White and soft.,Wasu kalmomi biyu ne zasu kwatanta gadon?,Fari da laushi.,1029,2405459
2045,What are the rods attached to?,Pole.,Dame aka manne rodin?,Pol.,1982,2381252
2046,What color are the rods?,Silver.,Menene launin rodinan?,Azurfa.,603,2381252
2047,What is the phone on?,Magazine.,A kan me wayar take?,Mujalla.,1867,2362319
2048,What is the boy going to do?,Skateboard.,Me yaron zai je yayi?,Allo mai taya.,562,2362266
2049,When was the photo taken?,Daytime.,Yaushe aka ɗauka hoton?,Da rana.,860,2362266
2050,What is the main color of the clouds?,Gray.,Menene jigon launin gajimaren?,Ruwan toka.,2087,2411285
2051,What kind of shoes does the man in the red sweatshirt have on?,Sneakers.,Wasu irin takalma mutumin cikin jar suwaita ya saka?,Sneakers.,2251,2393600
2052,What color is the sky?,White.,Menene launin sama?,Fari.,1039,2352795
2053,Who is standing there?,2 men.,Wanene yake tsaye a can?,Maza 2.,1831,2393600
2054,Who is holding the tennis racket?,The man.,Waye riƙe da raket ɗin tanis?,Mutumin.,1923,2337956
2055,What is attached to the person's feet?,Surfboard.,Menene a haɗe da ƙafafuwan mutumin?,Allon hawan igiyar ruwa.,567,2390714
2056,How many horses are there?,One.,Nawane adadin dawakai a gurin?,Ɗaya.,2716,2415522
2057,Who is standing in front of the television?,A woman.,Waye tsaye a gaban talabijin ɗin?,Mata.,1809,2339054
2058,Who is using the laptop?,The man.,Waye yake amfani da kwamfutar tafi-da-gidankan?,Mutumin.,1923,2327435
2059,What color are the door handles?,Silver.,Menene launin hannun ƙofar?,Azurfa.,603,2406272
2060,What is on the table with the salad?,Two bottles.,Menene a kan tebur tare da salad ɗin?,Kwalabe biyu.,1603,2364371
2061,Where is the man in the picture?,Behind the woman.,Ina mutumin cikin hoton?,A bayan matar.,77,2387389
2062,Where is the picture taken?,A shop window.,A ina aka ɗauka hoton?,Tagan shago.,2332,2376831
2063,What is the boy sitting next to?,Toilet.,A kusa da me yaron yake zaune?,Mazaunin ban ɗaki.,1838,2403936
2064,What main color is the boy's hair?,Brown.,Wani jigon launi ne gashin yaron?,Ruwan ƙasa.,2105,2403936
2065,What part of the middle animal is the zebra in the back biting?,Its rump.,Wani ɓangaren dabbar tsakiyan jakin dawan dake baya yake cizo?,Bayan shi.,705,2391201
2066,What color is the circle on the container?,Black.,Wani launi ne da da'irar jikin mazubin?,Baƙi.,729,2326006
2067,What is in the grass?,A cow.,Menene a cikin ciyawar?,Saniya.,2175,2377526
2068,Who is present?,No one.,Waye yake nan?,Ba kowa.,607,2348490
2069,How many dogs are in the photo?,One.,Nawa ne adadin karnuka a cikin hoton?,Ɗaya.,2716,2365888
2070,Where is the picture taken?,A zoo.,A ina aka ɗauki hoton?,A gidan namun daji.,204,2394543
2071,Who is standing near the elephants?,A woman is standing near the elephants.,Wanene yake tsaye kusa da giwayen?,Mata ce take tsaye kusa da giwayen.,1806,2399639
2072,What is on the woman's shoulder?,A purse.,Menene a kafaɗar matar?,Ƙaramar jaka.,2732,2399639
2073,How many people are there?,None.,Nawa ne adadin mutane a gurin?,Babu.,640,2332525
2074,Where is the napkin?,Around the food.,Ina napkin ɗin yake?,Kusa da abincin.,1558,2376927
2075,What shade is the bus?,White and blue.,Menene launin bas ɗin?,Fari da shuɗi.,1034,2392102
2076,What is behind the horse?,Trees.,Menene a bayan dokin?,Bishiyoyi.,756,2415522
2077,When was the picture taken?,Daytime.,Da yaushe aka ɗauki hoton?,Da rana.,860,2339054
2078,What color is the water?,Blue.,Menene launin ruwan?,Shuɗi.,2230,2324364
2079,What sport is shown?,Swimming.,Wani wasa aka nuna?,Iyo.,1305,2324364
2080,What color is it?,White.,Wani launi ne wannan?,Fari.,1039,2327375
2081,When was this picture taken?,Daytime.,Yaushe aka ɗauki wannan hoton?,Da rana.,860,2316160
2082,What is the holder for?,Hot dogs.,Na menene mariƙin?,Hot dogs.,1265,2364594
2083,What season was this picture taken?,Fall.,A wani yanayi aka ɗauki wannan hoton?,Kaka.,1385,2392896
2084,What is the man wearing on his head?,A cap.,Me mutumin yake sanye da akan shi?,Hula.,1273,2327435
2085,What is wearing a white shirt?,The man.,Menene yake sanye da farar riga?,Mutumin.,1923,2359200
2086,What color is the faucet?,Silver.,Menene launin fanfon?,Azurfa.,603,2346455
2087,Where is the person?,In front of the car.,Ina matar take?,A gaban motar.,179,2406272
2088,What is the man sitting on?,A motorcycle.,A kane mutumin yake zaune?,Babur.,642,2411981
2089,What is in this photo?,A food truck.,Menene a cikin wannan hoton?,Motar abinci.,1859,2379395
2090,What color is the supposed water?,Blue.,Wani launi ne abu mai kamar ruwa?,Shuɗi.,2230,2319315
2091,How many completely black cats are there?,One.,Nawa ne adadin maguna masu baƙi gaba ɗaya a gurin?,Ɗaya.,2716,2416677
2092,What pattern is on the chair?,Zigzag.,Wani irin tsari ne a jikin kujerar?,Zigzag.,2674,2416677
2093,Where are the people?,Top right.,Ina mutanen suke?,Saman dama.,2159,2361751
2094,What is covering the building?,A roof.,Me ya rufe ginin?,Rufi.,2052,2389027
2095,When was the picture taken?,Daytime.,Yaushe aka ɗauka hoton?,Da rana.,860,2335423
2096,What color is the wall?,Green and white.,Menene launin bangon?,Kore da fari.,1524,2335423
2097,When do the animals eat?,When hungry.,Da yaushe dabbobin ke cin abinci?,Idan suna jin yunwa.,1283,2316259
2098,Who is with the girl?,No one.,Wanene tare da yarinyar?,Ba kowa.,607,2390767
2099,What is animal doing?,Sleeping.,Me dabbar takeyi?,Bacci.,645,2413005
2100,What two shapes are made with the metal frame?,A square and a circle.,Wasu siffa biyu akayi da firam ɗin ƙarfen?,Murabba'i da da'ira.,1868,2402220
2101,How are the animals colored?,Black and white.,Yaya launin dabbobin suke?,Baƙi da fari.,723,2391201
2102,What is between the post?,Steel cables.,Menene a tsakanin post ɗin?,Igiyoyin ƙarfe.,1291,2394543
2103,What is the man holding?,A tennis racket.,Me mutumin yake riƙe da shi?,Raket ɗin tanis.,1999,2413338
2104,When was this photo taken?,During the day.,Da yaushe aka ɗauki hoton?,Da rana.,860,2321949
2105,What is the man holding?,A mitt.,Me mutumin yake riƙe da shi?,Mitt.,1856,2331840
2106,How is the weather?,Clear.,Yaya yanayin yake?,Washe.,2539,2331840
2107,What are the vegetables kept in?,A bowl.,A cikin ina kayan lambun suke ajiye?,Kwano.,1626,2410109
2108,What color is this?,White.,Wani launi ne wannan?,Fari.,1039,2417150
2109,Where are the fans?,The stands.,Ina magoya bayan suke?,Gurin zama.,1209,2380353
2110,What shade are the buildings?,Beige.,Wani launi ne gine-ginen?,Beige.,736,2392102
2111,Where are the hanging pictures?,On the wall.,Ina ratayayyun hotunan?,A jikin bango.,231,2402704
2112,What vegetable is this?,Spinach.,Wani kayan marmari ne wannan?,Alayyahu.,559,2360453
2113,How many children are there?,1,Nawa ne adadin yara a gurin?,1,8,2336518
2114,Why is the woman upset?,No woman.,Meyasa matar take fushi?,Babu mata.,639,2396267
2115,What is this place?,A church.,Menene wannan gurin?,Coci.,825,2368090
2116,How many dogs are pictured?,One.,Nawa ne adadin karnuka a hoton?,Ɗaya.,2716,2389474
2117,Where can the parked car be seen?,In the mirror.,Ina ake ganin motar da ta ke ajjiye?,A madubi.,324,2389474
2118,Where is the boy in orange?,On the railing.,Ina yaron da ake sanye da ruwan lemo yake?,Akan layin dogo.,511,2402674
2119,What color is the woman's collar?,White.,Menene launin wuyan rigar matar?,Fari.,1039,2406272
2120,When was picture taken?,Daytime.,Da yaushe aka ɗauki hoton?,Da rana.,860,2359188
2121,How many fire hydrants are there?,One.,Abun adana ruwan gobara nawane a wajan?,Ɗaya.,2716,2341227
2122,Where is the rebar?,In the hole.,Ina rebar?,A cikin ramin.,130,2361751
2123,What is in the picture?,Fridge.,Menene a jikin hoton?,Firji.,1083,2357813
2124,What is the main color of the grass?,Green.,Menene ainahin launin ciyawar?,Kore.,1530,2316259
2125,What time of day is it?,Night.,Da wani lokacin rana ne?,Dare.,927,2390120
2126,What is sitting next to this person?,A soccer ball.,Me yake zaune kusa da mutumin?,Kwallo.,1609,2385265
2127,How many trucks are pictured?,One.,Manyan mota nawa ne a hoton?,Ɗaya.,2716,2383743
2128,What is the girl's hair color and style?,Red and long.,Menene launin gashin yarinyar da tsarin sa?,Ja kuma me tsawo.,1317,2390767
2129,How many cups?,One.,Kofuna nawa ne?,Ɗaya.,2716,2379065
2130,What button is red?,Power button.,Wani madanni ne ja?,Madannin kunnawa?.,1728,2413005
2131,What is the purpose of the meter?,Parking.,Menene amafanin na'ura din?,Tsayawa.,2444,2401954
2132,What food is shown?,A hot dog in a bun.,Wani abinci aka nuna?,Hot dog a cikin burodi.,1261,2367008
2133,What kind of man?,Soldier.,Wani irin mutum ne?,Ɗan sanda.,2704,2365888
2134,What color are the zebras?,Black and white.,Menene launin jakunan dawan?,Baƙi da fari.,723,2358019
2135,How many elephants are there?,Four.,Giwaye nawa ne a wurin?,Hudu.,1272,2399639
2136,What color are the flowers?,Yellow.,Menene launin furran?,Rawaya.,2025,2332525
2137,What is the main color of the rocks?,Gray.,Menene ainahin launin duwatsun?,Ruwan toka.,2087,2411285
2138,How many tennis rackets are there?,One.,Abun buga tanis guda nawa ne?,Ɗaya.,2716,2337956
2139,How many benches in front of the water?,Two.,Kujeru nawa ne a gaban ruwan?,Biyu.,761,2319876
2140,What is the surfer riding?,Surfboard.,Me mai wasan igiyar ruwa ɗin yake tuƙawa?,Abin hawa igiyar ruwa.,421,2390714
2141,Who are the men?,Tennis players.,Su waye mazan?,Yan wasan tanis.,2588,2380353
2142,What is the net made of?,String.,Da me akai ragar?,String.,2258,2380353
2143,What is on the man's back?,A red shirt.,Menene a bayan mutumin?,Jar riga.,1346,2395604
2144,What color is the chair?,Red.,Menene launin kujerar?,Ja.,1321,2402704
2145,What is on the wall?,Black dots.,Menene a bangon?,Ɗugon baƙi.,2718,2366070
2146,What type of flooring covers the ground?,Beige tile.,Wani irin daɓe ne akayin ƙasan dashi?,Tayal beige.,2396,2370248
2147,How many people are shown?,Four.,Nawane adadin mutanen da aka nuna?,Huɗu.,1280,2355107
2148,What color is the dress?,Black.,Menene launin rigar?,Baƙa.,717,2317309
2149,Where is the mouse?,Next to keyboard.,Ina linzamin kwamfutar?,Kusa da masarrafin kwamfuta.,1581,2408308
2150,What is the meat product on the plate?,Hot dog.,Wanne irin nama ne a kan farantin?,Hot dog.,1263,2398788
2151,What state is the toilet seat in?,Raised.,A wani yanayi masan yake?,A ɗage.,409,2346455
2152,Where is the truck?,In the park.,Ina babbar motar take?,A fili wasa.,152,2379395
2153,How many buses are there?,Two.,Bas nawa ne a wurin?,Biyu.,761,2401075
2154,What is the wall color?,White.,Menene launin bangon?,Fari.,1039,2361179
2155,How many animals are in this picture?,Two.,Dabbobi nawa ne a wannan hoton?,Biyu.,761,2316259
2156,What is behind the trees?,Buildings.,Menene a bayan bishiyun?,Gininnika.,1184,2401954
2157,What type of container is pictured?,Cup.,Wani irin mazubi ne aka nuna?,Kofi.,1511,2326006
2158,What amount of hot dogs are shown?,One.,Hot dogs nawa aka nuna?,Ɗaya.,2716,2367008
2159,What is this?,Plane.,Menene wannan?,Jirgin sama.,1374,2348490
2160,What color is the snow?,White.,Menene launin dusar ƙanƙara?,Fari.,1039,2317342
2161,What animals are shown?,Zebras.,Wani dabba aka nuna?,Jakin dawa.,1332,2358019
2162,Where are the people?,By the bench.,Ina mutanen suke?,Kusa da benci.,1562,2319876
2163,What color is court?,Green.,Menene launin filin wasa?,Kore.,1530,2380353
2164,What meat is on the pizza?,Pepperoni.,Wani irin nama ne akan fiza ɗin?,Pepperoni.,1977,2317521
2165,What is pictured?,Pool.,Me aka nuna?,Tafkin.,2329,2324364
2166,What color is the sink?,White.,Menene launi abun wanke hannu ɗin?,Fari.,1039,2370248
2167,What color is the truck nearest the camera?,Red.,Menene launin babbar motar da take kusa da kamera?,Ja.,1321,2355107
2168,What color is the couch?,Brown.,Menene launin kujerar?,Ruwan ƙasa.,2105,2316160
2169,What is the building made of?,Stone.,Da me akayi ginin?,Da dutse.,844,2324239
2170,What is open in the building?,A window.,Me yake a buɗe a jikin ginin?,Taga.,2331,2362585
2171,What is white and black?,A sign.,Menene fari da baƙi?,Alama.,551,2402220
2172,What color are the seat poles?,Silver.,Menene launin pol ɗin jikin abun zaman?,Ruwan azurfa.,2059,2326006
2173,What color is the cow?,Brown.,Menene launin san?,Ruwan ƙasa.,2105,2377526
2174,How many cows are in the photo?,One.,Shanu nawa ne a hoton?,Ɗaya.,2716,2377526
2175,How many candles are pictured?,Two.,Kyandir nawa aka ɗauka a hoto?,Biyu.,761,2412969
2176,Where was the photo taken?,In a park.,A ina aka ɗauka hoton?,A gurin shaƙatawa.,212,2332525
2177,What is the man doing?,Pitching.,Me mutumin yake yi?,Saitawa.,2149,2331840
2178,What is the hand holding?,A hotdog.,Me hannun yake riƙe da shi?,Hot dog.,1263,2376927
2179,What are the green vegetables?,Broccoli.,Menene korayen ganyanyakin?,Kabejin brokoli.,1382,2410109
2180,What is this?,A boat.,Menene wannan?,Jirgin ruwa.,1371,2417150
2181,Why is he on the boat?,Sailing.,Meyasa yake cikin jirgin ruwan?,Tafiya cikin jirgin ruwa.,2326,2417150
2182,What is the wave doing?,Splashing.,Me igiyar ruwan take yi?,Fantsala.,1007,2390714
2183,What color is the writing on the cup?,Green.,Wani launi ne rubutun jikin kofin?,Kore.,1530,2330621
2184,Where is the cross?,In the center.,Ina kusur?,A tsakiyan.,369,2368090
2185,Where is the water?,In a glass.,Ina ruwan?,A cikin kofin gilas.,120,2364594
2186,How many stripes are between the eye and nose?,Four.,Nawane adadin ratsi a tsakanin idon da hanci?,Huɗu.,1280,2392896
2187,How will he stroke the ball?,Using a backhand.,Ya zaiyi ya bugi ƙwallon?,Yin amfani da bayan hannu.,2654,2411504
2188,What color is the trailer on the gray truck?,White.,Wani launi ne da tirelar kan babbar mota ruwan toka?,Fari.,1039,2411981
2189,Where is the truck?,On the parking lot.,Ina babbar motar?,A gurin ajiyar mota.,207,2359188
2190,Why is the truck here?,To sell food.,Meyasa babbar motar take nan?,Don sayar da abinci.,966,2379395
2191,What is the woman holding?,A cupcake.,Me matar take riƙe da shi?,Cupcake.,836,2362211
2192,How many people are wearing purple shirts?,One.,Nawane adadin mutanen da suke sanye da riga ruwan malmo?,Ɗaya.,2716,2338866
2193,Where is the machinery located?,Kitchen.,A ina jerin mashina suke?,Ɗakin girki.,2693,2361751
2194,How many people are in the picture?,2,Nawane adadin mutanen dake cikin hoton?,2,20,2387389
2195,How many people are in this photo?,One.,Nawane adadin mutane a cikin hoton?,Ɗaya.,2716,2385265
2196,When is the cat under the blanket?,Now.,Yaushe magen take ƙarƙashin bargon?,Yanzu.,2630,2348828
2197,What animal is shown?,Cat.,Wacce dabba aka nuna?,Mage.,1739,2413005
2198,What is next to the boy?,Toilet.,Menene a kusa da yaron?,Masai.,1794,2403936
2199,What is the shape of the white sign?,Rectangular.,Menene siffar farar alamar?,Murabba'i mai ɗari.,1869,2402220
2200,What is outside the house?,A tree.,Menene a wajan gidan?,Bishiya.,752,2370375
2201,What is in the right-side background?,Two blue doors with white frames.,Menene a ɓarin dama a kasan bayan?,Ƙofofi biyu shuɗayi masu zagayan fari.,2766,2393564
2202,What is behind the sofa on a silver pole?,Lights.,Menene abayan doguwar kujera akan fol mai launin azurfa?,Haske.,1237,2369489
2203,What is on his hands?,Gloves.,Menene a hannunsa?,Safar hannu.,2146,2317342
2204,What type of vehicle is the car?,A nissan.,Wacce irin abin hawa ce motar?,Nisan.,1958,2321949
2205,Who is holding a shoulder bag?,The woman is holding the shoulder bag.,Wake riƙe da jakar hannu?,Matar tana ratayi da jakar kafaɗa.,1819,2399639
2206,When is this?,Daytime.,Yaushe ne wannan?,Da rana.,860,2417150
2207,What is the white stuff in the water?,Seafoam.,Wanne farin abu ne a cikin ruwan?,Kumfar teku.,1555,2390714
2208,What is on the men's faces?,Glasses.,Menene a kan fuskokin mazan?,Gilasai.,1173,2395604
2209,What is next to the broccoli?,An apple.,Menene a kusa da kabejin borokolin?,Tuffa.,2473,2360453
2210,Where is the dog seen?,Mirror.,A ina aka ga karen?,Madubi.,1732,2389474
2211,Where was this photo taken?,Skate park.,A ina aka ɗauka hoton?,Gurin sulun allo mai taya.,1208,2402674
2212,How is the desk made?,From wood.,Ta yaya aka haɗa tebur ɗin?,Daga katako.,889,2408308
2213,Where was this picture taken?,In a living room.,A ina aka ɗauka wannan hoton?,Ɗakin zama.,2698,2316160
2214,What color is the bench?,Blue.,Wanne launi ne benci?,Shuɗi.,2230,2359200
2215,How many people are holding scissors?,One.,Mutane nawa ne suke riƙe da almakashi?,Ɗaya.,2716,2359200
2216,What is the face made out of?,Couscous.,Da me akayi fuskar?,Kuskus.,1596,2404623
2217,What are the pews made of?,Wood.,Dame akayi bincika?,Katako.,1475,2324239
2218,What design are the giraffes covered in?,Spots.,Wani irin zane raƙuman dawan suke dashi?,Ɗugo ɗugo.,2717,2353674
2219,When was the picture taken?,Daytime.,Da yaushe aka ɗauki hoton?,Da rana.,860,2401075
2220,What is the color of the table?,Brown.,Menene launin teburin?,Ruwan ƙasa.,2105,2336932
2221,What is over the tower?,The night sky.,Menene a saman hasumiyar?,Daren sararin samaniya.,928,2390120
2222,Where are the freckles?,On the girl's face.,Ina freckles suke?,A fuskar yarinyar.,167,2390767
2223,What color is the cat?,"Orange, Brown, White.",Menene launin magen?,"Ruwan lemo, ruwan ƙasa, fari.",2074,2413005
2224,Who has blue eyes?,The baby.,Waye yake da shuɗin ido?,Jaririn.,1349,2403936
2225,How many people?,1,Mutane nawa?,1,8,2393564
2226,Where are the people?,Park.,Ina mutanen suke?,Filin wasa.,1074,2366013
2227,How is the airplane powered?,Propeller.,Me jirgin yake amfani da?,Abun turawa.,444,2359015
2228,What direction is the elephant facing?,To the right.,Wani ɓangare giwar ke kallo?,Dama.,904,2394543
2229,What color is the grass?,Green.,Menene launin ciyawar?,Kore.,1530,2332525
2230,What is the main color of the shadows?,Gray.,Menene ainahin launin inuwar?,Ruwan toka.,2087,2411285
2231,What color is the man's shirt?,Blue.,Menene launin rigar mutumin?,Shuɗi.,2230,2331840
2232,How many white cords are plugged in in the background?,Two.,Wayoyi nawa ne farare a jone a kasan bayan?,Biyu.,761,2330621
2233,Who is starbucks mascot?,Mermaid.,Waye starbucks mascot?,Mermaid.,1853,2330621
2234,What number cars are on the bus?,Three.,Lambar mota nawa ne a jikin bas ɗin?,Uku.,2495,2392102
2235,What is in the sky?,Clouds.,Menene a sararin samaniya?,Hadari.,1214,2395604
2236,What is under the bench?,The shadow.,Menene a ƙasan bencin?,Inuwa.,1296,2389358
2237,What is he using to cover his mouth?,Hands.,Dame yake amfani dashi ya rufe bakin sa?,Hannu.,1221,2336518
2238,How many red trucks are there?,One.,Babbar mota  ja guda nawa ce a wurin?,Ɗaya.,2716,2355107
