,ques_en,ans_en,ques_ha,ans_ha,label,image_id_2
662,What color are the street lines?,Yellow.,Meye launi layikan kan titi?,Rawaya.,2025,2321866
663,Why would amp person lookout the tower?,For time.,Me yasa mutum zai nemi hasumiyar?,Saboda lokaci.,2130,2418700
664,What are the people doing?,Skiing.,Me mutanen sukeyi?,Sulun dusar ƙanƙara.,2262,2317507
665,What is the person doing?,Surfing.,Me mutum yake yi?,Surfing.,2301,2355469
666,How does the day look?,Sunny.,Ta yaya rana take?,Mai rana.,1769,2396861
667,What color is the water?,Blue.,Menene launin ruwan?,Shuɗi.,2230,2408685
668,What is hanging in the background?,A banner.,Menene rataye a bango?,Tuta.,2487,2318313
669,Where is the napkin?,Under the bananas.,Ina adiko na goge baki?,Kasan ayaba.,1464,2376459
670,Where are the vegetables sitting?,In a wooden box.,A ina kayan lambun suke ajiye?,A cikin akwatin katako.,94,2316213
671,How many screens does the computer have?,One.,Guda biyu fuska ne kwamfutar?,Daya.,936,2328103
672,What color are the window drapes?,White.,Mene launin cikin labulen tagar?,Fari.,1039,2328829
673,When was the picture taken?,Daytime.,Yaushe aka ɗauki hoton?,Da rana.,860,2353804
674,What is in the window?,Teddy bears.,Me ke cikin taga?,Ƴar tsana.,2779,2376831
675,Where is the toothbrush aimed?,Down.,Ina abun gugan haƙorin ya nufa?,Ƙasa.,2752,2401010
676,What is the woman going to hit?,Tennis ball.,Me matar zata buga?,Kwallon tanis.,1611,2402676
677,What is this?,A train station.,Mene wannan?,Tashar jirgin ƙasa.,2385,2381042
678,What is flying in the sky?,Kites.,Menene yake tashi a sama?,Jirgin leda.,1369,2341284
679,What type of animal is here?,Elephant.,Wani irin dabba ne a nan?,Giwa.,1187,2321004
680,What is in the melanize containers?,Flowers.,Menene a cikin kwantena?,Furanni.,1105,2362259
681,What is the gender of the person on the right in the purple sweater?,Female.,Mene jinsin wanda yake tsaye daga dama mai rigar sanyi ruwan malmo?,Mace.,1725,2374229
682,Where are the people?,In the street.,Ina mutanen suke?,A kan hanya.,274,2403398
683,What kind of table is this?,Picnic.,Wanne irin tebur ne wannan?,Fikinik.,1066,2381990
684,What color are the rocks?,Brown.,Menene launin manyan duwatsun?,Ruwan ƙasa.,2105,2349358
685,What is the shaver with red along doing?,Eating.,Menene dandano da ja da yake yi?,Cin abinci.,811,2373259
686,What is behind the truck?,A tree.,Menene a bayan babbar motar?,Bishiya.,752,2342718
687,Where is the bus?,On the street.,Ina bas ɗin?,A kan titi.,300,2354144
688,What is causing the shadow on the road?,Runner.,Me ya kawo inuwa akan titin?,Me gudu.,1844,2367456
689,What color is the elephant?,Grey.,Wane launi ne giwa?,Ruwan toka.,2087,2419170
690,What personify the main color of the clouds?,White.,Abin da ya nuna babban launi na girgije?,Fari.,1039,2402050
691,How many elephant are there?,One.,Nawa giwa ke nan?,Ɗaya.,2716,2418870
692,Where is this taken?,In a shop.,Ina aka ɗauki hoton?,A shago.,350,2367702
693,Where is the photo taken?,In a park.,A ina aka ɗauki hoton?,A lambu.,322,2335245
694,What piquant veg is a topping?,Jalapeno pepper.,Mecece VEG ta kasance ta kai?,Attaruhun jalapeno.,598,2340279
695,What is the color of the dog?,Brown.,Menene launi na kare?,Ruwan ƙasa.,2105,2336673
696,What is lining the face of the street that are tall?,Houses.,Me ke rufe fuskar titi?,Gidaje.,1168,2418357
697,Who cost don a pink sweater?,The girl to the left of the man.,Wanene ya biya don sweater ruwan hoda?,Yarinyar dake bangaran hannun hagun mutumin.,2636,2389566
698,How many hands are in the picture?,One.,Hnnaye nawa ne a hoton?,"Ɗaya,.",2715,2384978
699,What colouration be the sheep's head?,Black.,Wace hoto ta tumaki?,Baƙi.,729,2378502
700,When is the depiction taken?,Day time.,Yaushe ne aka sanya kwatancen?,Da rana.,860,2336324
701,What comprise the valet wearing?,Long sleeve shirt.,Me ya ƙunshi valet?,Riga mai dogon hannu?.,2037,2338538
702,What is the weather conditions?,Overcast.,Menene yanayin yanayi?,Overcast.,1972,2399898
703,What is on the hot dog?,Ketchup and Mustard.,Menene a kan hot dog ɗin?,Ketchup da Mustard.,1495,2367166
704,What is on the person's wrist?,Watch.,Menene wuyan hannun mutumin?,Agogon.,463,2344002
705,Where make_up the containers?,On the ground.,Inda sanya_unan kwantena?,A ƙasa.,400,2401735
706,What can be seen flying in the sky?,Birds.,Me ake iya gani a sama yana tashi?,Tsuntsaye.,2462,2407060
707,Who birth four legs?,The elephant.,Wanda ya haifi kafafu huɗu?,Giwar.,1188,2407231
708,What is around the windows?,Curtains.,Menene zagaye da tagar?,Labule.,1638,2346762
709,What is on the woman's lips?,Lipstick.,Menene akan leben matar?,Jan baki.,1338,2319759
710,What is on the roof of the building?,The snow.,Menene akan rufin ginin?,Dusar ƙanƙarar.,990,2359510
711,What deuce semblance are the floor?,Black and white.,Abin da defba ne bene sune bene?,Baƙi da fari.,723,2418887
712,Where is the lady?,No lady.,Ina matar?,Babu budurwa.,629,2338059
713,What is the logo on the side of the sneaker?,Nike.,Menene tambarin da ke gefen sneakers ɗin?,Nike.,1957,2370083
714,When was this picture taken?,After the apple was cut.,Da yaushe aka ɗauki hoton?,Bayan an yanka tufa.,684,2399016
715,Who is on the horse?,The woman.,Wanene akan doki?,Mace.,1725,2330414
716,When was this photo taken?,During the day.,Da yaushe aka dauki wannan hoton?,Da rana.,860,2415597
717,What are the green items?,Pickles.,Menene korayen abubuwan?,Abun tsami.,443,2358454
718,What is the weather like?,Rainy.,Kamar ya yanayin yake?,Damina.,906,2323013
719,Where is the chicken?,ON the buns.,Ina naman kazar?,A KAN cincin ɗin.,47,2364872
720,Where was the picture taken?,On a street.,A ina aka ɗauki hoton?,Akan titi.,532,2409424
721,Where are their horns?,On the top of their heads.,A ina ƙahon su yake?,A saman kan su.,342,2337425
722,What colouring is the church?,Blue.,Wani launi ne cocin?,Shuɗi.,2230,2337673
723,What equal In the harbor?,Boats.,Menene daidai yake da tashar jiragen ruwa?,Jiragen ruwa.,1361,2418567
724,What kind of wiener is pictured?,German shepherd.,Wani irin waƙar da aka nuna?,German shepherd.,1164,2406272
725,Where is the rebar?,In the hole.,Ina rebar?,A cikin ramin.,130,2361751
726,What is behind the toilet?,A metal bar.,Menene  a bayan masai?,Sandar ƙarfe.,2170,2392669
727,What is on the ground?,Sand.,Me yake a ƙasa?,Ƙasa.,2752,2332221
728,How many bottles are on the counter?,2,Kwalabe nawa ne akan counter ɗin?,2,20,2392341
729,What color is the grass?,Green.,Menene launin ciyawar?,Kore.,1530,2323963
730,What are the paries of the kitchen made from?,Stone.,Waɗanne piergeies na dafa abinci da aka yi?,Dutse.,995,2355898
731,How many multitude are riding on elephants?,Zero.,Da yawa daga cikin ke hawa kan giwayen?,Sifili.,2238,2418099
732,Who is sway the black umbrella?,A man.,Wanene Sway Blambella?,Mutumi.,1906,2365369
733,What are the floors pull_in of?,Hardwood floors.,Menene bene yake jan ciki_in?,Itace mai ƙarfi.,1301,2399073
734,What is behind the man?,A scoreboard.,Meye a bayan mutumin?,Allon rubuta makin wasa.,569,2364814
735,Where was this picture taken?,In a living room.,Ina aka ɗauki hoton nan?,A cikin falo.,105,2336832
736,Where are the forks?,On the napkin.,Ina cokali?,A kan adikon goge baki.,256,2417964
737,What are they drinking?,Coca-Cola.,Me suke sha?,Coca-cola.,824,2356158
738,What toppings are on the pizza?,Vegetables.,Wasu abubuwa ne akan fiza?,Kayan lambu.,1483,2359779
739,What shade of color is the boat?,Blue.,Menene ratsin launin jirgin ruwan?,Shuɗi.,2230,2395326
740,What is he catching?,A Frisbee.,Me yake kamawa?,Firisbi.,1082,2320105
741,What kind of vehicle is visible?,Train.,Wanne abun hawa ake iya gani?,Jirgin ƙasan.,1377,2397051
742,Where be the pamper sitting?,In a booth.,A ina ne yake zaune?,A rumfa.,334,2418148
743,What cost in the air?,A ball.,Wane farashi a cikin iska?,Kwallo.,1609,2419046
744,What is the bed beside?,Window.,A gefen me gadon yake?,Taga.,2331,2399850
745,What people_of_color personify the man's tie?,Purple.,Wane irin mutane_of_COF_COLOL ya nuna taye mutumin?,Shunayya.,2214,2384775
746,Where was this delineation taken?,A field.,A ina ne aka daidaita wannan?,A fili.,153,2382489
747,Who is using the laptop?,The man.,Waye yake amfani da kwamfutar tafi-da-gidankan?,Mutumin.,1923,2327435
748,How is the plate?,White.,Yaya farantin?,Fari.,1039,2371699
749,What are the people looking at?,Water.,Me mutanen suke kallo?,Ruwa.,2057,2362072
750,What else is present?,Train tracks.,Mene kuma akwai?,Hanyar jirgin ƙasa.,1231,2347936
751,What is visible?,The white board sign.,Me ake iya gani?,Farin allon alama.,1044,2391575
752,What item is used for shade?,A umbrella.,Wani abu ake amfani da shi don inuwa?,Lema.,1677,2377924
753,How many lights are shown?,Five.,Futulu nawa aka nuna?,Biyar.,759,2347014
754,Who is in the picture?,A man.,Wanene a wannan hoton?,Namiji.,1949,2319180
755,What has two ears?,Cow.,Menene kunnuwa biyu?,Saniya.,2175,2418152
756,What is the grok out behind?,A fence.,Mece ce tsoratarwa?,Shinge.,2205,2368860
757,How many cats?,3,Nawane adadin mage?,3,25,2378366
758,When live this?,Daytime.,Lokacin da rayuwa wannan?,Da Rana.,838,2356325
759,What is in the man's hand?,Tennis racket.,Menene a hannun mutum?,Raket ɗin tanis.,1999,2388311
760,Where is the man?,On the bike.,Ina mutumin?,A kan babur ɗin.,259,2351920
761,What color ar the bushes?,Green.,Wani launi ne bushes?,Kore.,1530,2328607
762,Where is the girl riding the bike?,In the street.,A ina yarinyar take tuƙa keken?,A titin.,365,2370863
763,Where was this picture taken?,A market place.,Ina aka ɗauki wannan hoton?,A cikin kasuwa.,119,2333500
764,When was the picture taken?,At daytime.,Yaushe ne hoton da aka ɗauki hoto?,Da rana.,860,2360541
765,Where is the motorcycle?,In the foreground on the left.,Ina babur ɗin?,A gaban filin a hagu.,174,2324363
766,Who is defy the umbrella?,A man.,Wanene ya hana laima?,Mutumi.,1906,2415316
767,When dress the man smile?,For the camera.,Lokacin da suturar mutum tayi murmushi?,Don kamarar.,955,2325682
768,What type of scene?,Outdoor.,Wani irin yanayin?,Waje.,2509,2327489
769,Where personify the toothbrush?,In the boys mouth.,Inda nuna hakori?,A cikin bakin yaron.,98,2347497
770,What are these kids watching?,Their instructor.,Me yaran nan ke kallo?,Mai horar dasu.,1758,2361118
771,What color are the scissors handles in the background?,Blue and green.,Wani launi ne almakashi a bango?,Shuɗi da kore.,2220,2418026
772,Where are these men riding?,Along the water.,Ina mazan nan suke tafiya?,Gabar ruwan.,1123,2394020
773,What is the primary color of the sign on the right?,Red.,Mene ne ainihin launi na alamar a hannun dama?,Ja.,1321,2418353
774,Why is a piece of sandwich missing?,It was bitten.,Meyasa babu wani bangare na sandwic din?,Saboda an gutsira.,2119,2333465
775,What is this a picture of?,Train.,Mene ne a wannan hoton?,Jirgin ƙasa.,1376,2318278
776,What kind of food is shown?,Cake.,Wanne irin abinci aka nuna?,Kek.,1489,2328685
777,Why is the man wearing glasses?,To see clearly.,Meyasa mutumin ya saka madubi idanu?,Ya gani sosai.,2570,2354294
778,What color is the floor?,Brown.,Wane launi ne bene?,Ruwan ƙasa-ƙasa.,2104,2348708
779,Where are the zebras?,In grass.,Ina dakunan dawa?,A ciyawa.,142,2403741
780,What color represent the chairs?,Yellow.,Wani launi yake wakiltar kujerun?,Rawaya.,2025,2405554
781,What is the normal of the bedspread?,Floral.,Menene al'ada ta bene?,Na fure.,1927,2410068
782,Where embody this picture taken?,Auto show.,Ina alamar wannan hoton?,Wurin nuna motoci.,2560,2414799
783,What direction is the elephant facing?,To the right.,Wani ɓangare giwar ke kallo?,Dama.,904,2394543
784,What color are the numbers in the motorcyclist?,Red.,Wani launi ne da lambobin jikin mai tuƙin babur ɗin?,Ja.,1321,2411997
785,What color cost the grass?,Green.,Wane launi ne kudin ciyawar?,Kore.,1530,2408813
786,Where make_up the boats?,In the water.,Inda sanya_upan jirgi?,Suna ruwa.,2284,2366688
787,How many the_great_unwashed represent in the picture?,1,Nawa_Grefe_unwashed yana wakiltar hoton?,1,8,2392102
788,Where personify the water?,Under the horse.,Inda ya nuna ruwa?,Kasan dokin.,1465,2419155
789,What comprise the man playing?,Baseball.,Me ya hada da mutumin da yake wasa?,Basbal.,678,2419408
790,What is growing IN this tree?,Bananas.,Me ke girma a cikin wannan bishiyar?,Ayaba.,599,2377152
791,Why is the cat looking up?,It's looking at the feathers of the cat toy.,Meyasa magen take kallon sama?,Tana kallon gashin abin wasan magen.,2359,2417622
792,What semblance pepper is on the pizza?,Yellow.,Wadanne irin seplephy ne a kan pizza?,Rawaya.,2025,2333612
793,World_Health_Organization is lay on the bed?,No one.,Hukumar Lafiya ta Duniya tana kwance a kan gado?,Babu kowa.,638,2339684
794,Where is the white and black piece of fabric?,In the suitcase.,Ina fari da baƙin ƙyallen yadin?,A cikin akwatin.,95,2373415
795,What food is this?,Pizza.,Abin da abinci wannan?,Fiza.,1092,2344002
796,Who is holding their hand up?,The man.,Wanene ya ɗaga hannunshi sama?,Mutumin.,1923,2318326
797,Where is the plane pointed?,To the left.,Ina jirgin saman yake kalla?,Zuwa hagu.,2678,2407844
798,What color equal the truck?,White.,Wane launi daidai motar?,Fari.,1039,2321949
799,What color are the slit peppers?,Red.,Wane launi ne barkono?,Ja.,1321,2331288
800,Where are the vehicles parked?,On the side of the field.,A ina aka ajiye ababan hawan?,A gefen filin.,193,2374728
801,Where are the potato chips?,Between the cola and the pickles.,A ina soyayyen dankalin turawan yake?,A bayan kola da fikul.,73,2358454
802,What is the man doing?,Cutting.,Me mutumin ke yi?,Yanke yanke.,2628,2370787
803,What color is the water?,Blue.,Wane launi ne ruwan?,Shuɗi.,2230,2418626
804,What vehicle is pictured?,A truck.,Wani abin hawa ne a hoton?,Babbar mota.,621,2383743
805,What is on the windows of the red building on the right?,Bars.,Menene a jikin tagogin jan ginin dake dama?,Ƙarafuna.,2730,2367820
806,How many children wearing hats?,One.,Yara nawa ke sanye da hula?,Ɗaya.,2716,2417901
807,What shape are the plates?,Round.,Wani irin farantin?,Zagaye.,2664,2358454
808,How many caravan rails are in the picture?,Two.,Nawa ne hanyoyin ƙasa da yawa suke a wannan hoton?,Biyu.,761,2357967
809,What coloration is the sky?,Blue.,Menene kayan maye?,Shuɗi.,2230,2418949
810,Where are all of the buildings?,Behind the beach.,Ina duka gine-ginen?,A bayan gaɓar tekun.,69,2343526
811,What color is the frame of the laptop?,Silver.,Menene launin firam ɗin kwamfutar tafi-da-gidankan?,Ruwan azurfa.,2059,2332363
812,How many cows make_up appear directly at the camera?,Two.,Nawa ne shanu da ake yi_up bayyana kai tsaye a kyamarar?,Biyu.,761,2343260
813,When did the woman go surfing?,During high tide.,Yaushe matar taje hawan igiyar ruwa?,Lokacin yawan igiyar ruwa.,1710,2413552
814,When is this taking place?,Daytime.,A yaushe hakan ke faruwa?,Da rana.,860,2398027
815,What color are the scissors handles in the background?,Blue and green.,Menene launin hannun almakashin a bayan?,Shuɗi da kore.,2220,2410068
816,Why follow at_that_place amp clock?,For time.,Me yasa Biye AT_That_caces Amp agogo?,Saboda lokaci.,2130,2418348
817,What is in the bowl?,Nothing.,Menene a cikin kwano?,Babu komai.,635,2418249
818,Where is the orange?,Cones.,Ina ruwan lemo yake?,Abun tare hanya.,442,2372238
819,Who is tire_out a hat?,Man on right.,Wanene taya_OU?,Mutumin dake dama.,1911,2403313
820,What vegetation is surrounding the zebras?,Tall grass.,Wane ciyayi ke kewaye da zebras?,Ciyawa me tsawo.,819,2418310
821,Where are the horses walking?,On shore.,Ina dawakai suke tafiya?,Kan gaɓa ruwa.,1420,2331959
822,What is the gentleman wearing on round his neck?,A necklace.,Menene mutumin da ya sa a wuyan wuyansa?,Sarƙa.,2182,2327435
823,Where exist the tea and coffee?,In between the trays.,Ina ya wanzu da kofi?,A tsakiyar farantai.,370,2416181
824,Where is the cat?,On the chair.,Ina cat?,Kan kujera.,1426,2360253
825,What is in the man's hand?,A skateboard.,Menene a hannun mutumin?,Allon sulu mai taya.,571,2392556
826,What is on the man's face?,Goggles.,Menene akan fuskar mutumin?,Tabarau.,2319,2385037
827,What beast equal seen?,Cat.,Abin da dabba daidai yake?,Mage.,1739,2337167
828,What tinge embody the statues?,Brown.,Wani tanate ya rufe gumakan?,Ruwa ƙasa.,2056,2323509
829,What color are the towels?,White.,Wane launi ne tawul?,Fari.,1039,2359279
830,What comprise the man wearing on his face?,Glasses.,Me ya shafi mutumin da yake sanye da fuskarsa?,Tabarau.,2319,2319180
831,What kind of remote is that?,A small black remote control.,Wana irin rimot ne wancan?,Ƙarami baƙin rimot.,2737,2370931
832,Where is the dog looking?,Upward.,Ina karen yake kallo?,Sama.,2155,2327260
833,What color are the pillows?,White.,Menene launin filallukan?,Fari.,1039,2391299
834,What comprise she holding?,A fronut.,Me ya hada da ta riƙe?,Fronut.,1102,2327263
835,How many fire trucks are in the picture?,Two.,Manyan motoci kashe gobara nawa ne a hoto?,Biyu.,761,2329377
836,What color is the grass?,Green.,Wacce launi ce ciyawar?,Koreya.,1538,2410126
837,Where was this picture taken?,A bedroom.,A ina aka ɗauki wannan hoton?,A ɗaki.,410,2378569
838,Where was the photo taken?,Field.,Ina aka dauki hoton?,A filin daji.,155,2338073
839,What is this?,A train station.,Menene wannan?,Tashar jirgin ƙasa.,2385,2381042
840,What is the score?,11-11.,Menene ci?,11-11.,12,2356034
841,How many sheep are in the road?,One.,Tumaki nawa suke a hanya?,Ɗaya.,2716,2418964
842,Where are the horses?,In the field.,Ina dokunan?,Suna fili.,2274,2366003
843,What number is in the circle?,60,Wacce lamba ce aka zagaye?,60,38,2363917
844,What are these animals?,Elephants.,Menene waɗannan dabbobi?,Giwaye.,1190,2379780
845,Where is this scene?,Woods.,Ina yanayin yake?,Cikin daji.,796,2393677
846,What are the hands doing?,Playing frisbee.,Me hannayen suke yi?,Yin wasan frisbee.,2658,2417959
847,Where are red lights?,On cars.,Ina hasken wuta?,A motoci.,327,2400965
848,Where is he skating?,Park.,Ina yake kankara?,Wurin wasa.,2561,2317163
849,What part of the broccoli is it?,Crown.,Wani ɓangaren borokili ne wannan?,Saman sa.,2160,2404623
850,How many laptops are there?,One.,Kwatancen kwamfyutocin nawa ne?,Ɗaya.,2716,2418255
851,Where is the stop sign?,Above the arrow sign.,Ina alamar tsayawa?,Saman alamar kibiyar.,2156,2317662
852,Why was the woman holding a hose?,To clean the lamb.,Meyasa matar take riƙe da tiyo?,Dan wanke ɗan tunkiyan.,916,2333753
853,What live the boy on?,Ramp.,Me ake rayuwa da yaron?,Ramp.,2003,2413488
854,What is on the ground?,Brush.,Menene a ƙasa?,Brush.,765,2360930
855,What does the curtain have color?,Red.,Menene labulen yake da launi?,Ja.,1321,2401437
856,What color are the stairs?,Green.,Menene launin matakalan?,Kore.,1530,2329560
857,Where comprise the tower?,In the horizon.,A ina aka hada hasumiya?,A sararin sama.,348,2418762
858,What is the number of planes parked on the runway?,One.,Menene yawan jirage da aka yi kiliya kan titin jirgin?,Ɗaya.,2716,2411026
859,Where was this exposure taken?,At a train station.,A ina aka ɗauki wannan yanayin?,A tashar jirgin ƙasa.,358,2418633
860,When was this taken?,Daytime.,Yaushe aka ɗauka wannan??,Da rana.,860,2415913
861,What are the people doing?,Walking.,Menene mutanen suke yi?,Tafiya.,2328,2341544
862,What color is the water?,Green.,Wane launi ne ruwan?,Kore.,1530,2316244
863,Where is the dog?,In the kitchen.,Ina kare?,Cikin madafan.,802,2337237
864,What is along a White plate?,A coffee cup.,Menene tare da farin farantin?,Moɗa kafe.,1865,2419485
865,What case of animal is in this picture?,Dog.,Wane irin yanayi yake a wannan hoton?,Kare.,1458,2353595
866,What kind of floor is in the picture?,Wood.,Wanne irin daɓe ƙasa ne a hoton?,Na katako.,1931,2408925
867,How represent the weather?,Overcast.,Yaya yanayin?,Gajimare.,1131,2358019
868,What color is the Plough cover?,White.,Wane launi ne murfin murfin?,Fari.,1039,2319780
869,Where are the ramps?,Behind the truck.,Ina ramuka?,Bayan babbar motar.,685,2407162
870,When was the characterisation taken?,Daytime.,Yaushe aka ɗauki halayen?,Da rana.,860,2334064
871,What color is the grass?,Green.,Menene launin ciyawar?,Kore.,1530,2318831
872,When is this?,Daytime.,Yaushe ne wannan?,Da rana.,860,2348490
873,How many airplanes are in the picture?,One.,Jiragen sama nawa ne a hoton?,Ɗaya.,2716,2360715
874,What color is the grass?,Green.,Wane launi ne ciyawa?,Kore.,1530,2346675
875,What represent the table made of?,Wood.,Menene wakiltar teburin da aka yi?,Katako.,1475,2419460
876,What animals equal shown?,Zebras.,Wadanne dabbobi suke daidai?,Jakin dawa.,1332,2358019
877,What color is the moon?,White.,Wane launi ne wata?,Fari.,1039,2339719
878,What are the windows on the bus made of?,Glass.,Menene windows a cikin bas da aka yi?,Gilashi.,1175,2418858
879,Where is the plate?,On the table.,Ina farantin?,Akan tebur.,528,2362057
880,What is growing In the quip of the sidewalk?,Grass.,Abin da ke girma a cikin kuskuren titi?,Ciyawa.,820,2364890
881,Where is this picture taken?,At the zoo.,A ina aka ɗauka wannan hoton?,A gidan dabbobi.,202,2332193
882,When is this taken?,Daytime.,Yaushe aka ɗauki wannan?,Da rana.,860,2386251
883,How many chimneys are visible?,Three.,Nawa chimneys ake iya gani?,Uku.,2495,2418304
884,What is the style of the countertop?,Marble.,Menene salon kan kanta?,Dutse mai santsi.,991,2368087
885,Who is flying over the water?,Bird.,Wake tsallake ruwa?,Tsuntsu.,2464,2372746
886,What is the number of people in the photo?,Two.,Menene adadin mutane a cikin hoton?,Biyu.,761,2362072
887,What color is the grass?,Green.,Wani launi ne da ciyawar?,Kore.,1530,2405554
888,What can be seen in the background?,Chairs.,Me za a iya gani a bango?,Kujeru.,1551,2418733
889,Who is pulling the cart?,A horse.,Waye yake jan amalanken?,Doki.,946,2323128
890,What letter are the giraffes making?,X.,Wace wasika ce da ke da girafes?,X.,2565,2406319
891,What animal is shown?,Horse.,Abin da aka nuna dabba?,Doki.,946,2377847
892,Where is the water?,In front of the girls.,Ina ruwan yake?,A gaban matan.,178,2333533
893,What color is the horse?,Tan.,Wani launi ne dokin?,Ruwan ƙasa.,2105,2337940
894,Who equal on the blue motorcycle?,A man.,Wanene daidai yake da babur na shuɗi?,Namiji.,1949,2341155
895,When was the picture taken?,Nighttime.,Da yaushe aka ɗauki hoton?,Daddare.,877,2340098
896,What color ar the curtains?,Tan.,Wane launi ne labulen?,Me dan duhu.,1843,2412969
897,Where is the umbrella?,On the pole.,Ina laima?,Akan dogon karfe.,481,2318639
898,What are the people walking on?,A pier.,Menene mutanen da suke tafiya?,Ginshiƙin gada.,1186,2368125
899,Who is in the boat?,One man.,Waye a cikin kwala-kwalen?,Mutum ɗaya.,1897,2398308
900,What is the honk calculate at?,Screen.,Mene ne Honk Lissafi?,Fuska.,1110,2372150
901,What kind of linoleum is this?,Green linoleum.,Wani irin linoleum shine wannan?,Koren linoleum.,1535,2364944
902,What embody this angstrom picture of?,A dog with a frisbee.,Abin da aka rufe wannan hoton,Kare tareda frisbee.,1457,2418031
903,What is in the grass?,A cow.,Menene a cikin ciyawar?,Saniya.,2175,2377526
904,What feature spread beautiful wings?,The bird.,Abin da tsari yada kyawawan fuka-fuki?,Tsuntsuwa.,2465,2358256
905,How many trains are inward the picture?,1,Nawa jiragen kasa nawa ne na ciki?,1,8,2326701
906,What is the walkway made of?,Concrete.,Mene ne aka yi tafiya?,Kankare.,1442,2393860
907,What is the man riding?,A blue motorbike.,Me mutumin yake tuƙawa?,Shuɗi babur.,2217,2413078
908,What color is the writing on the boat?,Black.,Mene launin rubuta jikin kwalekwale?,Baƙi.,729,2407228
909,What has pointy ears?,The cat.,Me yake da dogwayen kunne?,Magen.,1741,2362311
910,What color helmet is the someone wearing?,Black.,Wane kwalkwali mai launi ne wanda ya sa?,Baƙi.,729,2366157
911,Where is the island?,In the distance.,Ina tsibirin?,A can baya.,90,2372900
912,What color is the puppy?,Brown and white.,Wane launi ne kwikwiyo?,Ruwan ƙasa da fari.,2092,2383244
913,Who is in the room?,No one.,Waye a cikin ɗakin?,Ba kowa.,607,2338998
914,What distort live the man's hair?,Brown.,Me ya karkatar da gashin kansa?,Ruwan ƙasa.,2105,2409428
915,What color are the vegetables in the bowl?,Purple.,Wana irin launin kayan lambu ne a kwanan?,Ruwan malmo.,2077,2396733
916,When is it?,Noon.,Yaushene wannan?,Tsakiyar rana.,2432,2318401
917,What's holding the hut up?,Sticks.,Me ke hana bukka?,Sanduna.,2172,2374895
918,What is in basket?,Bread.,Menene a cikin kwandon?,Burodi.,774,2396449
919,Where are the elephants?,Tropics.,Ina giwayen?,Suna cikin ruwa.,2269,2365859
920,Where are the zebras?,In the jungle.,Ina jakunan dawan?,A cikin daji.,103,2320169
921,What color is the table?,Brown.,Wani launi ne tebur?,Ruwan ƙasa-ƙasa.,2104,2381990
922,Who is on each side of the court?,Players.,Waye a ko wani gefen filin wasan?,Yan wasa.,2586,2356034
923,What is the sport?,Tennis.,Menene wasanni?,Tanis.,2371,2340549
924,Why is the lady walking?,On her way to work.,Me yasa uwargidan take tafiya?,Akan hanyarta ta zuwa wajan aiki.,500,2418746
925,What is behind the food?,A window with a closed curtain.,Mene a bayan abincin.?,Taga da rufaffen labule.,2330,2412517
926,What does the puppet look like?,A bear.,Menene yar tsana?,Tunku.,2485,2315370
927,How does one enter and leave the room?,Through the door.,Ta yaya mutum yake shiga da fita daga ɗakin?,Ta cikin ƙofar.,2305,2392410
928,What coloring_material is the snow?,White.,Wane launi_ cikawa shine dusar ƙanƙara?,Fari.,1039,2418504
929,Where is the event taking place?,On a baseball field.,A ina akeyin lamarin?,A filin wasan baseball.,160,2340332
930,How many girls are there?,Two.,'Yan mata nawa ne?,Biyu.,761,2341945
931,What is behind the man?,A stone wall.,Menene a bayan mutumin?,Bangon dutse.,665,2365888
932,Where are the pillows?,Head of bed.,Ina matashin kai yake?,Fuskar Gabon.,1111,2359883
933,What is covering the building?,A roof.,Me ya rufe ginin?,Rufi.,2052,2389027
934,What direction is the cat looking?,To the left.,Wanne ɓangaren magen ke kalla?,Hagu.,1215,2385611
935,What is on the wall?,Cup.,Menene akan bango?,Kofi.,1511,2418952
936,What shape is the piza on the silver tray?,Rectangular.,Wani fasali ne fiza ɗin kan tiren azurfa?,Raktangula.,2001,2370442
937,Where exist the bucket?,In the grass.,Ina ya wanzu?,Cikin ciyawar.,795,2360260
938,How are the floors made?,Of stone.,Taya akayi kasan?,Da dutse.,844,2343858
939,Why is it bright?,The sun.,Me yasa yake da haske?,Saboda rana.,2136,2332221
940,What distort are the trees?,Green.,Abin da karkatarwa sune bishiyoyi?,Kore.,1530,2340690
941,What frolic do the boys play?,Tennis.,Wadanne frolic suke yi?,Tanis.,2371,2321587
942,What sits right above the sink?,Faucet.,Menene ya zauna a saman sink ɗin?,Famfo.,1004,2370248
943,What color personify the blades?,Grey.,Wani launi ya nuna ruwan wukake?,Ruwan toka.,2087,2407210
944,What discolor equal the man's jacket?,Red.,Abin da Discolor daidai yake da jaket ɗin mutum?,Ja.,1321,2326721
945,What is the human_beings doing?,Cutting.,Me jikin mutum yake yi?,Yanke yanke.,2628,2370787
946,Where are the bananas?,Right of oranges.,Ina ayabar?,Kusa da lemon zaki.,1579,2356292
947,When was this?,Daytime.,Yaushe wannan?,Da rana.,860,2418576
948,How many rackets the woman constitute holding?,One.,Nawa rake nawa mace ta zama rike?,Ɗaya.,2716,2418168
949,Where is the bird?,On top of the building.,Ina tsuntsun?,A saman ginin.,339,2318401
950,What is on the table?,A cup.,Menene a kan teburin?,Kofi.,1511,2353509
